product_name,company_name,maufactured_place,best_before,direction,price
Aloe Vera Gel,NatureCare,USA,18 months,Apply gently on face twice daily,12.99
Herbal Shampoo,GreenLeaf,India,2 months,Massage onto wet hair and rinse,8.50
Sunscreen SPF 50,SunGuard,France,24 months,Apply 15 mins before sun exposure,15.00
Vitamin C Serum,GlowUp,South Korea,9 months,Use 2-3 drops on clean skin,22.75
Moisturizing Lotion,HydraSoft,Germany,17 months,Apply after shower daily,10.99
Lip Balm,BerryBliss,Canada,6 months,Apply on lips as needed,3.49
Face Wash,FreshFace,UK,13 months,Use morning and night,7.25
Anti-Aging Cream,Youthful,Switzerland,19 months,Apply nightly on face and neck,30.00
Hand Sanitizer,CleanHands,USA,11 months,Use on hands when needed,2.99
Body Scrub,SpaEssence,Australia,10 months,Massage onto wet skin and rinse,14.50